rank_text,rank_href,rank,name_text,name_href,models
Complete ranking,https://db-engines.com/en/ranking,132,Oracle Rdb,https://db-engines.com/en/system/Oracle+Rdb,Relational
Complete ranking,https://db-engines.com/en/ranking,133,Empress,https://db-engines.com/en/system/Empress,Relational
Complete ranking,https://db-engines.com/en/ranking,134,HFSQL,https://db-engines.com/en/system/HFSQL,Relational
Complete ranking,https://db-engines.com/en/ranking,135,WiredTiger,https://db-engines.com/en/system/WiredTiger,Key-value
Complete ranking,https://db-engines.com/en/ranking,136,NCache ,https://db-engines.com/en/system/NCache,Key-value
Complete ranking,https://db-engines.com/en/ranking,137,1010data,https://db-engines.com/en/system/1010data,Relational
Complete ranking,https://db-engines.com/en/ranking,138,Giraph,https://db-engines.com/en/system/Giraph,Graph
Complete ranking,https://db-engines.com/en/ranking,139,Altibase,https://db-engines.com/en/system/Altibase,Relational
Complete ranking,https://db-engines.com/en/ranking,140,Cubrid,https://db-engines.com/en/system/Cubrid,Relational
Complete ranking,https://db-engines.com/en/ranking,141,FoundationDB,https://db-engines.com/en/system/FoundationDB,Document store|Key-value store|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,142,Infobright,https://db-engines.com/en/system/Infobright,Relational
Complete ranking,https://db-engines.com/en/ranking,143,Matisse,https://db-engines.com/en/system/Matisse,Object oriented
Complete ranking,https://db-engines.com/en/ranking,144,Tarantool,https://db-engines.com/en/system/Tarantool,Key-value
Complete ranking,https://db-engines.com/en/ranking,145,NuoDB ,https://db-engines.com/en/system/NuoDB,Relational
Complete ranking,https://db-engines.com/en/ranking,146,Dgraph ,https://db-engines.com/en/system/Dgraph,Graph
Complete ranking,https://db-engines.com/en/ranking,147,IDMS,https://db-engines.com/en/system/IDMS,Navigational
Complete ranking,https://db-engines.com/en/ranking,148,Model 204,https://db-engines.com/en/system/Model+204,Multivalue
Complete ranking,https://db-engines.com/en/ranking,149,LiteDB,https://db-engines.com/en/system/LiteDB,Document
Complete ranking,https://db-engines.com/en/ranking,150,NonStop SQL,https://db-engines.com/en/system/NonStop+SQL,Relational
Complete ranking,https://db-engines.com/en/ranking,151,DataEase,https://db-engines.com/en/system/DataEase,Relational
Complete ranking,https://db-engines.com/en/ranking,152,GT.M,https://db-engines.com/en/system/GT.M,Key-value
Complete ranking,https://db-engines.com/en/ranking,153,GraphDB ,https://db-engines.com/en/system/GraphDB,Graph DBMS|RDF store
Complete ranking,https://db-engines.com/en/ranking,154,HAWQ,https://db-engines.com/en/system/HAWQ,Relational
Complete ranking,https://db-engines.com/en/ranking,155,TimescaleDB ,https://db-engines.com/en/system/TimescaleDB,Time Series DBMS|Relational DBMS
Complete ranking,https://db-engines.com/en/ranking,156,Sedna,https://db-engines.com/en/system/Sedna,Native XML
Complete ranking,https://db-engines.com/en/ranking,157,Citus,https://db-engines.com/en/system/Citus,Relational DBMS|Document store
Complete ranking,https://db-engines.com/en/ranking,158,XAP,https://db-engines.com/en/system/XAP,Key-value
Complete ranking,https://db-engines.com/en/ranking,159,DBISAM,https://db-engines.com/en/system/DBISAM,Relational
Complete ranking,https://db-engines.com/en/ranking,160,AllegroGraph ,https://db-engines.com/en/system/AllegroGraph,Graph DBMS|RDF store
Complete ranking,https://db-engines.com/en/ranking,161,Objectivity/DB,https://db-engines.com/en/system/Objectivity%2FDB,Object oriented
Complete ranking,https://db-engines.com/en/ranking,162,BigchainDB,https://db-engines.com/en/system/BigchainDB,Document
Complete ranking,https://db-engines.com/en/ranking,163,Kognitio,https://db-engines.com/en/system/Kognitio,Relational
Complete ranking,https://db-engines.com/en/ranking,164,D3,https://db-engines.com/en/system/D3,Multivalue
Complete ranking,https://db-engines.com/en/ranking,165,ZODB,https://db-engines.com/en/system/ZODB,Key-value
Complete ranking,https://db-engines.com/en/ranking,166,Stardog,https://db-engines.com/en/system/Stardog,Graph DBMS|RDF store
Complete ranking,https://db-engines.com/en/ranking,167,TigerGraph ,https://db-engines.com/en/system/TigerGraph,Graph
Complete ranking,https://db-engines.com/en/ranking,168,R:BASE,https://db-engines.com/en/system/R%3ABASE,Relational
Complete ranking,https://db-engines.com/en/ranking,169,solidDB,https://db-engines.com/en/system/solidDB,Relational
Complete ranking,https://db-engines.com/en/ranking,170,Xapian,https://db-engines.com/en/system/Xapian,Search engine
Complete ranking,https://db-engines.com/en/ranking,171,SQL.JS,https://db-engines.com/en/system/SQL.JS,Relational
Complete ranking,https://db-engines.com/en/ranking,172,Actian Vector,https://db-engines.com/en/system/Actian+Vector,Relational
Complete ranking,https://db-engines.com/en/ranking,173,Datacom/DB,https://db-engines.com/en/system/Datacom%2FDB,Relational
Complete ranking,https://db-engines.com/en/ranking,174,Clustrix,https://db-engines.com/en/system/Clustrix,Relational
Complete ranking,https://db-engines.com/en/ranking,175,MapR-DB,https://db-engines.com/en/system/MapR-DB,Document store|Wide column store
Complete ranking,https://db-engines.com/en/ranking,176,ScaleArc,https://db-engines.com/en/system/ScaleArc,Relational
Complete ranking,https://db-engines.com/en/ranking,177,WebSphere eXtreme Scale,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,Key-value
Complete ranking,https://db-engines.com/en/ranking,178,CrateDB ,https://db-engines.com/en/system/CrateDB,Relational DBMS|Search engine|Document store
